Name of medicine,EMA product number,Medicine status,International non-proprietary name (INN) / common name,Active substance
DuoTrav,EMEA/H/C/000665,Authorised,travoprost;timolol,travoprost;timolol
Ontruzant,EMEA/H/C/004323,Authorised,trastuzumab,trastuzumab
Pomalidomide Viatris,EMEA/H/C/006195,Authorised,pomalidomide,Pomalidomide
Tecfidera,EMEA/H/C/002601,Authorised,dimethyl fumarate,
Azopt,EMEA/H/C/000267,Authorised,brinzolamide,brinzolamide
Apremilast Viatris,EMEA/H/C/006193,Application withdrawn,apremilast,apremilast
Zokinvy,EMEA/H/C/005271,Authorised,lonafarnib,Lonafarnib
Stalevo,EMEA/H/C/000511,Authorised,levodopa;carbidopa;entacapone,levodopa;carbidopa;entacapone
Nobivac L4,EMEA/V/C/002010,Authorised,canine leptospirosis vaccine (inactivated),Leptospira interrogans serogroup Canicola serovar Portland-vere (strain Ca-12-000);L. interrogans serogroup Icterohaemorrhagiae serovar Copenhageni (strain Ic-02-001);L. interrogans serogroup Australis serovar Bratislava (strain As-05-073);L. kirschneri serogroup Grippotyphosa serovar Dadas (strain Gr-01-005)
Versican Plus DHPPi,EMEA/V/C/003679,Authorised,"canine distemper virus, canine adenovirus, canine parvovirus, canine parainfluenza virus","canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B and canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated)"
Versican Plus DHPPi/L4,EMEA/V/C/003678,Authorised,"live, attenuated Canine distemper virus, canine adenovirus, canine parvovirus, canine parainfluenza virus inactivated","canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B, canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091..."
Idelvion,EMEA/H/C/003955,Authorised,albutrepenonacog alfa,albutrepenonacog alfa
Purevax RCP FeLV,EMEA/V/C/000089,Authorised,"vaccine against feline viral rhinotracheitis, feline calicivirosis, feline panleucopenia and feline leukaemia",attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains);attenuated feline panleucopenia virus (PLI IV);FeLV recombinant canarypox virus (vCP97)
Purevax RCP,EMEA/V/C/000090,Authorised,"vaccine against feline viral rhinotracheitis, feline calicivirosis and feline panleucopenia",attenuated feline panleucopenia virus (PLI IV)
Purevax FeLV,EMEA/V/C/000056,Authorised,vaccine against feline leukaemia,feline leukaemia virus recombinant canarypox virus (vCP97)
Vanflyta,EMEA/H/C/005910,Authorised,quizartinib,quizartinib dihydrochloride
Travatan,EMEA/H/C/000390,Authorised,travoprost,travoprost
Zyprexa Velotab,EMEA/H/C/000287,Authorised,olanzapine,olanzapine
Sevelamer carbonate Winthrop (previously Sevelamer carbonate Zentiva),EMEA/H/C/003971,Authorised,sevelamer carbonate,sevelamer carbonate
Voncento,EMEA/H/C/002493,Authorised,human coagulation factor VIII / human von willebrand factor,human coagulation factor VIII;human von willebrand factor
Firdapse (previously Zenas),EMEA/H/C/001032,Authorised,amifampridine,amifampridine
Signifor,EMEA/H/C/002052,Authorised,pasireotide,pasireotide
Wilzin,EMEA/H/C/000535,Authorised,zinc,zinc
Vizimpro,EMEA/H/C/004779,Authorised,dacomitinib,dacomitinib monohydrate
Durysta,EMEA/H/C/005916,Application withdrawn,bimatoprost,bimatoprost
Naglazyme,EMEA/H/C/000640,Authorised,galsulfase,galsulfase
Vedrop,EMEA/H/C/000920,Authorised,tocofersolan,tocofersolan
Bamlanivimab and etesevimab for COVID-19,EMEA/H/C/005836,Withdrawn from rolling review,,bamlanivimab;Etesevimab
Ledaga,EMEA/H/C/002826,Authorised,chlormethine,chlormethine
Cystadane,EMEA/H/C/000678,Authorised,betaine anhydrous,Betaine anhydrous
Isturisa,EMEA/H/C/004821,Authorised,osilodrostat,osilodrostat phosphate
Cystagon,EMEA/H/C/000125,Authorised,mercaptamine bitartrate,mercaptamine bitartrate
Alli (previously Orlistat GSK),EMEA/H/C/000854,Authorised,orlistat,orlistat
"Vantavo (previously Alendronate sodium and colecalciferol, MSD)",EMEA/H/C/001180,Authorised,alendronic acid;colecalciferol,alendronic acid;colecalciferol
Adrovance,EMEA/H/C/000759,Authorised,alendronic acid;colecalciferol,colecalciferol;alendronic acid (as sodium trihydrate)
Esperoct,EMEA/H/C/004883,Authorised,turoctocog alfa pegol,turoctocog alfa pegol
Arsenic trioxide Accord,EMEA/H/C/005175,Authorised,arsenic trioxide,arsenic trioxide
Fosavance,EMEA/H/C/000619,Authorised,alendronic acid;colecalciferol,alendronic acid;colecalciferol
Theralugand,EMEA/H/C/005882,Authorised,lutetium (177Lu) chloride,lutetium (177Lu) chloride
Bevespi Aerosphere,EMEA/H/C/004245,Authorised,glycopyrronium;formoterol fumarate dihydrate,glycopyrronium;formoterol fumarate dihydrate
Lumykras,EMEA/H/C/005522,Authorised,sotorasib,sotorasib
Eribulin Baxter,EMEA/H/C/006191,Authorised,eribulin,Eribulin mesylate
Tavlesse,EMEA/H/C/005012,Authorised,fostamatinib,Fostamatinib disodium
Prevexxion RN+HVT+IBD,EMEA/V/C/005057,Authorised,infectious bursal disease;Marek's disease vaccine (live recombinant),"Live recombinant Marek’s disease virus, serotype 1, strain RN1250; Live recombinant turkey herpesvirus, expressing the VP2 protein of infectious bursal disease virus, strain vHVT013-69"
Metacam,EMEA/V/C/000033,Authorised,meloxicam,meloxicam
Sancuso,EMEA/H/C/002296,Authorised,granisetron,granisetron
Frontpro (previously Afoxolaner Merial),EMEA/V/C/005126,Authorised,afoxolaner,afoxolaner
Lutetium (177Lu) chloride Billev (previously Illuzyce),EMEA/H/C/005859,Authorised,lutetium (177Lu) chloride,lutetium (177Lu) chloride
Onivyde pegylated liposomal (previously Onivyde),EMEA/H/C/004125,Authorised,irinotecan hydrochloride trihydrate,irinotecan anhydrous free-base
Akantior,EMEA/H/C/005858,Authorised,polihexanide,Polihexanide
Duloxetine Zentiva,EMEA/H/C/003935,Authorised,duloxetine,duloxetine
Pomalidomide Teva,EMEA/H/C/006302,Authorised,pomalidomide,Pomalidomide
Xultophy,EMEA/H/C/002647,Authorised,insulin degludec;liraglutide,insulin degludec;liraglutide
Fruzaqla,EMEA/H/C/005979,Authorised,fruquintinib,fruquintinib
Rixubis,EMEA/H/C/003771,Authorised,nonacog gamma,nonacog gamma
Vaniqa,EMEA/H/C/000325,Authorised,eflornithine,eflornithine
Cervarix,EMEA/H/C/000721,Authorised,"human papillomavirus vaccine [types 16, 18] (recombinant, adjuvanted, adsorbed)",human papillomavirus1 type 16 L1 protein;human papillomavirus type 18 L1 protein
Senshio,EMEA/H/C/002780,Authorised,ospemifene,ospemifene
Kauliv,EMEA/H/C/004932,Authorised,teriparatide,teriparatide
Pombiliti,EMEA/H/C/005703,Authorised,cipaglucosidase alfa,Cipaglucosidase alfa
Dapagliflozin Viatris,EMEA/H/C/006006,Authorised,dapagliflozin,dapagliflozin
Bydureon,EMEA/H/C/002020,Authorised,exenatide,exenatide
Praxbind,EMEA/H/C/003986,Authorised,idarucizumab,idarucizumab
Fevaxyn Pentofel,EMEA/V/C/000030,Withdrawn,"inactivated feline panleukopenia virus, calicivirus, rhinotracheitis virus, leukaemia virus and Chlamydophila felis",inactivated feline rhinotracheitis virus;inactivated feline calicivirus;inactivated feline Chlamydophila felis;inactivated feline leukaemia virus;inactivated feline panleukopenia virus
Tenkasi (previously Orbactiv),EMEA/H/C/003785,Authorised,oritavancin,oritavancin (diphosphate)
Nezglyal,EMEA/H/C/005757,Refused,leriglitazone,leriglitazone hydrochloride
Ganfort,EMEA/H/C/000668,Authorised,bimatoprost;timolol,bimatoprost;timolol
Lumigan,EMEA/H/C/000391,Authorised,bimatoprost,bimatoprost
Celsunax,EMEA/H/C/005135,Authorised,ioflupane (123I),ioflupane (123i)
Ogivri,EMEA/H/C/004916,Authorised,trastuzumab,trastuzumab
Buccolam,EMEA/H/C/002267,Authorised,midazolam,midazolam
Alecensa,EMEA/H/C/004164,Authorised,alectinib,alectinib hydrochloride
Convenia,EMEA/V/C/000098,Authorised,cefovecin,cefovecin (as sodium salt)
Cepedex,EMEA/V/C/004376,Authorised,dexmedetomidine,Dexmedetomidine hydrochloride
Cardalis,EMEA/V/C/002524,Authorised,benazepril hydrochloride;spironolactone,benazepril hydrochloride;spironolactone
Omidria,EMEA/H/C/003702,Authorised,phenylephrine;ketorolac,ketorolac;phenylephrine
Canigen L4,EMEA/V/C/004079,Authorised,canine leptospirosis vaccine (inactivated),Inactivated Leptospira strains: L. interrogans serogroup Canicola serovar Portland-vere (strain Ca-12-000); L. interrogans serogroup Icterohaemorrhagiae serovar Copenhageni (strain Ic-02-001); L. interrogans serogroup Australis serovar Bratislava (strain As-05-073); L. kirschneri serogroup Grippotyphosa serovar Dadas (strain Gr-01-005)
Broadline,EMEA/V/C/002700,Authorised,"eprinomectin, fipronil, praziquantel, (S)-methoprene",eprinomectin;fipronil;praziquantel;(S)-methoprene
Bovela,EMEA/V/C/003703,Authorised,bovine viral diarrhoea vaccine (modified live),"modified live bovine viral diarrhoea virus type 1, non-cytopathic parent strain KE-9 and modified live bovine viral diarrhoea virus type 2, non-cytopathic parent strain NY-93"
Versican Plus Pi/L4,EMEA/V/C/003683,Authorised,canine parainfluenza virus and Leptospira,"Canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090 and L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091 (all inactivated)"
Versican Plus Pi,EMEA/V/C/003681,Authorised,canine parainfluenza virus,"canine parainfluenza type-2 virus, strain CPiV-2 Bio 15 (live attenuated)"
Versican Plus L4,EMEA/V/C/003680,Authorised,canine leptospirosis vaccine (inactivated),"Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091 (all inactivated)"
Innovax-ND-IBD,EMEA/V/C/004422,Authorised,Newcastle disease;infectious bursal disease;Marek's disease vaccine (live recombinant),"cell-associated live recombinant turkey herpesvirus (strain HVP360), expressing the fusion protein of ND virus and the VP2 protein of IBD virus"
Vaxxitek HVT+IBD,EMEA/V/C/000065,Authorised,infectious bursal disease;Marek's disease vaccine (live recombinant),"recombinant turkey herpesvirus, strain vhvt013-69, live"
Poulvac E. coli,EMEA/V/C/002007,Authorised,"Escherichia coli aroA gene deleted, type O78, strain EC34195 (live)","Live aroA gene deleted Escherichia coli, type 078, strain EC34195"
Porcilis PCV M Hyo,EMEA/V/C/003796,Authorised,porcine circovirus type 2 ORF2 subunit antigen;mycoplasma hyopneumoniae vaccine (inactivated),"Porcine circovirus type 2 (PCV2) ORF2 subunit antigen, Mycoplasma hyopneumoniae J strain inactivated"
Byetta,EMEA/H/C/000698,Authorised,exenatide,exenatide
Xerava,EMEA/H/C/004237,Authorised,eravacycline,eravacycline
Pemetrexed Sandoz,EMEA/H/C/004011,Withdrawn,pemetrexed,pemetrexed disodium hemipentahydrate
Porcilis ColiClos,EMEA/V/C/002011,Authorised,vaccine to provide passive immunity to the progeny against Escherichia coli and Clostridium perfringens in pigs,Clostridium perfringens type C / Escherichia coli F4ab / E. coli F4ac / E. coli F5 / E. coli F6 / E. coli LT
ArthriCox,EMEA/V/C/005993,Authorised,firocoxib,firocoxib
Cirbloc M Hyo,EMEA/V/C/006131,Authorised,"mycoplasma hyopneumoniae, strain 2940, inactivated;porcine circovirus 2, ORF2 capsid protein","mycoplasma hyopneumoniae, strain 2940, inactivated;porcine circovirus 2, ORF2 capsid protein"
Nobivac DP Plus,EMEA/V/C/005251,Authorised,"canine distemper vaccine (live, attenuated) and canine parvovirus vaccine (live, recombinant)",Live attenuated canine distemper virus strain Onderstepoort: 105.1 – 106.5 TCID50;Live recombinant canine parvovirus strain 630a:  105.1 – 106.7 TCID50
Hiprabovis IBR Marker Live,EMEA/V/C/000158,Authorised,live gene-deleted vaccine for intramuscular use for active immunisation of cattle against infectious bovine rhinotracheitis,"live gE- tk- double-gene-deleted bovine herpes virus type 1, strain CEDDEL: 106.3–107.3 CCID50"
Vidaza,EMEA/H/C/000978,Authorised,azacitidine,azacitidine
Forxiga,EMEA/H/C/002322,Authorised,dapagliflozin,dapagliflozin propanediol monohydrate
Edistride,EMEA/H/C/004161,Authorised,dapagliflozin,dapagliflozin propanediol monohydrate
Gliolan,EMEA/H/C/000744,Authorised,5-aminolevulinic acid hydrochloride,5-aminolevulinic acid hydrochloride
Zavesca,EMEA/H/C/000435,Authorised,miglustat,miglustat
Translarna,EMEA/H/C/002720,Expired,ataluren,ataluren
Suvaxyn Aujeszky 783 + O/W,EMEA/V/C/000038,Withdrawn,live attenuated Aujeszky's disease virus,live attenuated Aujeszky's disease virus
Oncaspar,EMEA/H/C/003789,Authorised,pegaspargase,pegaspargase
Oxervate,EMEA/H/C/004209,Authorised,cenegermin,recombinant human nerve growth factor
Suliqua,EMEA/H/C/004243,Authorised,insulin glargine;lixisenatide,insulin glargine;lixisenatide
Tracleer,EMEA/H/C/000401,Authorised,bosentan,bosentan (as monohydrate)
BTVPUR,EMEA/V/C/002231,Authorised,inactivated vaccine against bluetongue virus serotypes 1 and 8,bluetongue-virus serotype-1 antigen;bluetongue virus serotype 8 antigen
Nobilis Influenza H5N2,EMEA/V/C/000118,Authorised,"adjuvanted inactivated vaccine against avian influenza virus type A, subtype H5",inactivated whole avian influenza virus antigen of H5N2 subtype (strain A/duck/Potsdam/1402/86)
Onbevzi,EMEA/H/C/005640,Withdrawn,bevacizumab,bevacizumab
Jylamvo,EMEA/H/C/003756,Authorised,methotrexate,methotrexate
ProteqFlu,EMEA/V/C/000073,Authorised,equine influenza vaccine (live recombinant),Vcp 2242 virus / Vcp1529 virus / Vcp1533 virus / vCP3011 virus
Solensia,EMEA/V/C/005179,Authorised,frunevetmab,frunevetmab
Stayveer,EMEA/H/C/002644,Authorised,bosentan monohydrate,bosentan (as monohydrate)
ProteqFlu-Te,EMEA/V/C/000074,Authorised,equine influenza (live recombinant) and tetanus vaccine,Clostridium tetani toxoid / Vcp 2242 virus / Vcp1529 virus / Vcp1533 virus / vCP3011 virus
Innovax-ILT,EMEA/V/C/003869,Authorised,avian infectious laryngotracheitis and Marek’s disease vaccine (live),"cell-associated live recombinant turkey herpesvirus (strain HVT/ILT-138), expressing the glycoproteins gD and gI of infectious laryngotracheitis virus"
Memantine LEK,EMEA/H/C/002630,Withdrawn,memantine,memantine hydrochloride
Zydelig,EMEA/H/C/003843,Authorised,idelalisib,Idelalisib
Purevax RC,EMEA/V/C/000091,Authorised,vaccine against feline viral rhinotracheitis and feline calicivirosis,attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains)
Zytiga,EMEA/H/C/002321,Authorised,abiraterone,abiraterone acetate
Velcade,EMEA/H/C/000539,Authorised,bortezomib,bortezomib
Ciambra,EMEA/H/C/003788,Withdrawn,pemetrexed,pemetrexed disodium hemipentahydrate
Pregabalin Zentiva,EMEA/H/C/003900,Authorised,pregabalin,pregabalin
Aldurazyme,EMEA/H/C/000477,Authorised,laronidase,laronidase
Gefitinib Mylan,EMEA/H/C/004826,Withdrawn,gefitinib,gefitinib
Purevax Rabies,EMEA/V/C/002003,Authorised,rabies recombinant canarypox virus (vCP65),vCP65 virus
Suvaxyn PRRS MLV,EMEA/V/C/004276,Authorised,"porcine respiratory and reproductive syndrome virus, live",modified live porcine respiratory and reproductive syndrome virus
Nobilis IB 4-91,EMEA/V/C/000036,Authorised,live attenuated vaccine against avian infectious bronchitis,live attenuated avian infectious bronchitis virus variant strain 4-91
Vyepti,EMEA/H/C/005287,Authorised,eptinezumab,Eptinezumab
Reyataz,EMEA/H/C/000494,Authorised,atazanavir sulfate,atazanavir (as sulfate)
Mevlyq,EMEA/H/C/006134,Authorised,eribulin,Eribulin mesylate
Clopidogrel Zentiva (previously Clopidogrel Winthrop),EMEA/H/C/000975,Authorised,clopidogrel,clopidogrel
Versican Plus Pi/L4R,EMEA/V/C/003682,Authorised,"canine parainfluenza virus, leptospira and rabies virus","canine parainfluenza virus, leptospira and rabies virus."
Equip WNV (previously Duvaxyn WNV),EMEA/V/C/000137,Authorised,vaccine to aid in prevention of West Nile virus,"inactivated West Nile virus, strain VM-2"
Versican Plus DHPPi/L4R,EMEA/V/C/002759,Authorised,"live, attenuated Canine distemper virus, canine adenovirus, canine parvovirus, canine parainfluenza virus inactivated and Leptospira","canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B, canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091..."
Aivlosin,EMEA/V/C/000083,Authorised,tylvalosin,tylvalosin
Porcilis PCV ID,EMEA/V/C/003942,Authorised,porcine circovirus vaccine (inactivated),porcine circovirus type 2 ORF2 subunit antigen
Arti-Cell Forte,EMEA/V/C/004727,Authorised,chondrogenic induced equine allogeneic peripheral blood-derived mesenchymal stem cells,chondrogenic induced equine allogeneic peripheral blood-derived mesenchymal stem cells
Halaven,EMEA/H/C/002084,Authorised,eribulin,Eribulin
Purevax RCPCh FeLV,EMEA/V/C/000085,Authorised,"vaccine against feline viral rhinotracheitis, feline calicivirosis, feline panleucopenia, feline leukeamia and feline Chlamydophila infections",attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains);attenuated feline panleucopenia virus (PLI IV);FeLV recombinant canarypox virus (vCP97);attenuated Chlamydophila felis (905 strain)
Purevax RCPCh,EMEA/V/C/000088,Authorised,"vaccine against feline viral rhinotracheitis, feline calicivirosis, feline panleucopenia and feline Chlamydophila infections",attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains);attenuated Chlamydophila felis (905 strain);attenuated feline panleucopenia virus (PLI IV)
Innovax-ND-ILT,EMEA/V/C/005190,Authorised,"Marek's disease vaccine, Newcastle disease vaccine & infectious laryngotracheitis vaccine (live recombinant)",cell-associated live recombinant turkey herpesvirus (strain HVT/NDV/ILT) expressing the fusion protein of newcastle disease virus and the glycoproteins gD and gI of infectious laryngotracheitis virus
Xadago,EMEA/H/C/002396,Authorised,safinamide,safinamide methanesulfonate
Divence IBR Marker Live,EMEA/V/C/006260,Authorised,bovine herpesvirus type 1 (live) vaccine,"infectious bovine rhinotracheitis virus, strain CEDDEL, gE- tk- double-gene deleted, live"
Oxbryta,EMEA/H/C/004869,Suspended,voxelotor,voxelotor
Neofordex,EMEA/H/C/004071,Authorised,dexamethasone,dexamethasone
Yuvanci,EMEA/H/C/005001,Authorised,macitentan;tadalafil,macitentan;tadalafil
Striascan,EMEA/H/C/004745,Authorised,ioflupane (123l),ioflupane (123l)
Zeleris,EMEA/V/C/004099,Authorised,florfenicol;meloxicam,florfenicol;meloxicam
Viekirax,EMEA/H/C/003839,Withdrawn,ombitasvir;paritaprevir;ritonavir,ombitasvir;paritaprevir;ritonavir
Exviera,EMEA/H/C/003837,Withdrawn,dasabuvir,dasabuvir sodium
Imatinib Teva,EMEA/H/C/002585,Authorised,imatinib,imatinib
Dificlir,EMEA/H/C/002087,Authorised,fidaxomicin,fidaxomicin
Kinharto,EMEA/H/C/006112,Application withdrawn,omecamtiv mecarbil,omecamtiv mecarbil dihydrochloride hydrate
Optruma,EMEA/H/C/000185,Authorised,raloxifene,raloxifene hydrochloride
Giapreza,EMEA/H/C/004930,Authorised,angiotensin II,angiotensin II acetate
Ucedane,EMEA/H/C/004019,Authorised,carglumic acid,carglumic acid
Entacapone Orion,EMEA/H/C/002440,Authorised,entacapone,entacapone
Orladeyo,EMEA/H/C/005138,Authorised,berotralstat,berotralstat dihydrochloride
Repaglinide Accord,EMEA/H/C/002318,Authorised,repaglinide,repaglinide
Insulin aspart Sanofi,EMEA/H/C/005033,Authorised,insulin aspart,insulin aspart
Porcilis PCV M Hyo ID,EMEA/V/C/006289,Authorised,porcine circovirus and porcine enzootic pneumonia vaccine (inactivated),"porcine circovirus type 2, ORF2 capsid protein;Mycoplasma hyopneumoniae, strain J, inactivated"
Cevac Salmune ETI K,EMEA/V/C/006118,Authorised,"Salmonella enteritidis, Salmonella typhimurium and Salmonella infantis vaccine (inactivated) for chickens","Salmonella enterica, subsp. enterica, serovar Enteritidis, strain 038-90, inactivated; Salmonella enterica, subsp. enterica, serovar Typhimurium, strain 076-94, inactivated; and Salmonella enterica, subsp. enterica, serovar Infantis, strain SM-595, inactivated"
Cepeloron,EMEA/V/C/006254,Authorised,spironolactone,spironolactone
Comtess,EMEA/H/C/000170,Authorised,entacapone,entacapone
Comtan,EMEA/H/C/000171,Authorised,entacapone,entacapone
Peyona (previously Nymusa),EMEA/H/C/001014,Authorised,caffeine,Caffeine citrate
Pomalidomide Accord,EMEA/H/C/006273,Authorised,pomalidomide,Pomalidomide
Vemlidy,EMEA/H/C/004169,Authorised,tenofovir alafenamide,tenofovir alafenamide fumarate
Dexdomitor,EMEA/V/C/000070,Authorised,dexmedetomidine,Dexmedetomidine hydrochloride
Bonviva,EMEA/H/C/000501,Authorised,ibandronic acid,ibandronic acid
Bondronat,EMEA/H/C/000101,Authorised,ibandronic acid,ibandronic acid
Adenuric,EMEA/H/C/000777,Authorised,febuxostat,febuxostat
Dzuveo,EMEA/H/C/004335,Authorised,sufentanil,sufentanil citrate
Resolor,EMEA/H/C/001012,Authorised,prucalopride,prucalopride succinate
Xarelto,EMEA/H/C/000944,Authorised,rivaroxaban,rivaroxaban
Tadalafil Lilly,EMEA/H/C/004666,Authorised,tadalafil,tadalafil
Cialis,EMEA/H/C/000436,Authorised,tadalafil,tadalafil
Nobilis Multriva RT+IBm+ND+EDS,EMEA/V/C/006043,Authorised,avian metapneumovirus;avian infectious bronchitis virus;Newcastle disease virus vaccine (inactivated);egg drop syndrome virus vaccine (inactivated),avian infectious bronchitis;Newcastle disease;egg drop syndrome virus vaccine (inactivated);sorbitan oleate;turkey rhinotracheitis virus (inactivated)
Nobilis Multriva RT+IBm+ND+Gm+REOm,EMEA/V/C/005989,Authorised,avian infectious bronchitis;avian reovirus;avian infectious bursal disease;Newcastle disease;turkey rhinotracheitis virus,avian infectious bronchitis;avian reovirus;avian infectious bursal disease;Newcastle disease;turkey rhinotracheitis virus (inactivated)
Nyxthracis (previously Obiltoxaximab SFL),EMEA/H/C/005169,Withdrawn,obiltoxaximab,nyxthracis
Savene,EMEA/H/C/000682,Authorised,dexrazoxane,dexrazoxane hydrochloride
Ivabradine Accord,EMEA/H/C/004241,Authorised,ivabradine,ivabradine hydrochloride
Lyxumia,EMEA/H/C/002445,Authorised,lixisenatide,lixisenatide
Infanrix Hexa,EMEA/H/C/000296,Authorised,"diphtheria (D), tetanus (T), pertussis (acellular, component) (Pa), hepatitis B (rDNA) (HBV), poliomyelitis (inactivated) (IPV) and Haemophilus influenzae type-b (Hib) conjugate vaccine (adsorbed)","Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin);hepatitis B surface antigen;poliovirus (inactivated) (type-1 (Mahoney strain), type-2 (MEF-1 strain), type-3 (Saukett strain));Haemophilus influenzae type b polysaccharide"
Dovprela (previously Pretomanid FGK),EMEA/H/C/005167,Authorised,pretomanid,pretomanid
Fabrazyme,EMEA/H/C/000370,Authorised,agalsidase beta,agalsidase beta
Carmustine medac (previously Carmustine Obvius),EMEA/H/C/004326,Authorised,carmustine,carmustine
Pramipexole Teva,EMEA/H/C/000940,Authorised,pramipexole,pramipexole dihydrochloride monohydrate
Tevagrastim,EMEA/H/C/000827,Authorised,filgrastim,filgrastim
Ratiograstim,EMEA/H/C/000825,Authorised,filgrastim,filgrastim
Iasibon,EMEA/H/C/002025,Authorised,ibandronic acid,ibandronic acid
Zaltrap,EMEA/H/C/002532,Authorised,aflibercept,aflibercept
Ibandronic Acid Teva,EMEA/H/C/001195,Authorised,ibandronic acid,ibandronic acid
Pioglitazone Accord,EMEA/H/C/002277,Authorised,pioglitazone,pioglitazone hydrochloride
Vaxzevria (previously COVID-19 Vaccine AstraZeneca),EMEA/H/C/005675,Withdrawn,COVID-19 Vaccine (ChAdOx1-S [recombinant]),ChAdOx1-SARS-COV-2
Vargatef,EMEA/H/C/002569,Authorised,nintedanib,nintedanib
GalliaPharm,EMEA/H/C/006053,Authorised,gallium (68Ga) chloride;germanium (68Ge) chloride,gallium (68Ga) chloride;germanium (68Ge) chloride
Tremelimumab AstraZeneca,EMEA/H/C/004650,Withdrawn,tremelimumab,tremelimumab
Rilutek,EMEA/H/C/000109,Authorised,riluzole,riluzole
Oprymea,EMEA/H/C/000941,Authorised,pramipexole,pramipexole dihydrochloride monohydrate
Helicobacter Test INFAI,EMEA/H/C/000140,Authorised,13C-urea,urea (13C)
Akeega,EMEA/H/C/005932,Authorised,niraparib;abiraterone acetate,abiraterone acetate;niraparib (tosilate monohydrate)
Myozyme,EMEA/H/C/000636,Authorised,alglucosidase alfa,alglucosidase alfa
Insulin lispro Sanofi,EMEA/H/C/004303,Authorised,insulin lispro,insulin lispro
Lymphoseek,EMEA/H/C/002085,Withdrawn,tilmanocept,tilmanocept
Intelence,EMEA/H/C/000900,Authorised,etravirine,Etravirine
Dabigatran Etexilate Accord,EMEA/H/C/005639,Authorised,dabigatran etexilate,dabigatran etexilate mesilate
Fasturtec,EMEA/H/C/000331,Authorised,rasburicase,rasburicase
Nexviadyme,EMEA/H/C/005501,Authorised,avalglucosidase alfa,avalglucosidase alfa
Avzivi,EMEA/H/C/005574,Authorised,bevacizumab,bevacizumab
Adzynma,EMEA/H/C/006198,Authorised,rADAMTS13,rADAMTS13
Tizveni,EMEA/H/C/005542,Withdrawn,tislelizumab,tislelizumab
Evicel,EMEA/H/C/000898,Withdrawn,human fibrinogen;human thrombin,human fibrinogen;human thrombin
Aclasta,EMEA/H/C/000595,Authorised,zoledronic acid,zoledronic acid
Vazkepa,EMEA/H/C/005398,Authorised,icosapent ethyl,Icosapent ethyl
Mozobil,EMEA/H/C/001030,Authorised,plerixafor,Plerixafor
Taxotere,EMEA/H/C/000073,Authorised,docetaxel,docetaxel
VidPrevtyn Beta,EMEA/H/C/005754,Withdrawn,"COVID-19 Vaccine (recombinant, adjuvanted)","SARS-CoV-2 prefusion Spike delta TM protein, recombinant (B.1.351 strain)"
Upstelda,EMEA/H/C/006415,Application withdrawn,ustekinumab,ustekinumab
Pemetrexed Krka,EMEA/H/C/003958,Withdrawn,pemetrexed,pemetrexed disodium
Fareston,EMEA/H/C/000091,Authorised,toremifene,toremifene
